Client ID;Конверсия;Марка;Модель;Avg. Session Duration;Bounce Rate;Browser;City;Campaign;Date;Device Category;Domain;Goal Completion Location;Goal Completions;Goal Conversion Rate;Goal Value;Keyword;Medium;Pageviews;Region;Sessions;Source;Source conv.;Продажа;Цена;Валюта
GA1.2.1512205745.1580133036;1;BMW;;0;0,00%;YaBrowser;Tula;(not set);27.01.2020;desktop;BMW-keyauto-krd.ru;/?keyauto_from=1;1;1;39414;(not set);(none);2;Tula Oblast;1;(direct);(direct);0;;
GA1.2.1512274387.1581175749;0;BMW;;2,31E-05;0,00%;Opera;Krasnodar;(not set);08.02.2020;desktop;BMW-keyauto-krd.ru;/;0;0;0;(not set);organic;2;Krasnodar Krai;1;yandex;YANDEX;0;;
GA1.2.1512274387.1581175749;1;BMW;;0;0,00%;Opera;Krasnodar;(not set);08.02.2020;desktop;cars.BMW-keyauto-krd.ru;/;1;1;44088;(not set);referral;6;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1512274387.1581175749;1;BMW;;0,000798611;0,00%;Opera;Krasnodar;(not set);08.02.2020;desktop;cars.BMW-keyauto-krd.ru;/;1;1;34754;(not set);referral;6;Krasnodar Krai;1;cars.BMW-keyauto-krd.ru;cars.BMW-keyauto-krd.ru;0;;
GA1.2.1512274387.1581175749;1;BMW;;0;0,00%;Opera;Krasnodar;(not set);08.02.2020;desktop;cars.BMW-keyauto-krd.ru;/buy/taxi/;1;1;25988;(not set);referral;6;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1512274387.1581175749;0;BMW;;0,000798611;0,00%;Opera;Krasnodar;(not set);08.02.2020;desktop;cars.BMW-keyauto-krd.ru;/buy/taxi/;0;0;0;(not set);referral;6;Krasnodar Krai;1;cars.BMW-keyauto-krd.ru;cars.BMW-keyauto-krd.ru;0;;
GA1.2.1512371203.1580763372;0;BMW;;0,000150463;0,00%;Safari;Sochi;(not set);03.02.2020;mobile;cars.BMW-keyauto-krd.ru;/;0;0;0;(not provided);organic;6;Krasnodar Krai;1;google;google;0;;
GA1.2.1512371203.1580763372;0;BMW;;0,000150463;0,00%;Safari;Sochi;(not set);03.02.2020;mobile;cars.BMW-keyauto-krd.ru;/;0;0;0;(not provided);organic;6;Krasnodar Krai;1;google;google;1;;
GA1.2.1512371203.1580763372;1;BMW;;0;0,00%;Safari;Sochi;(not set);03.02.2020;mobile;cars.BMW-keyauto-krd.ru;/;1;1;35756;(not set);referral;6;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1512371203.1580763372;1;BMW;;0;0,00%;Safari;Sochi;(not set);03.02.2020;mobile;cars.BMW-keyauto-krd.ru;/;1;1;35756;(not set);referral;6;Krasnodar Krai;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;1;;
